text,intent
"Why is moveLeft x1 y1 not used in the plan?","Why is action A not used in the plan?"
"Why is moveRight x1 y1 not used in the plan?","Why is action A not used in the plan?"
"Why is moveUp x1 y1 not used in the plan?","Why is action A not used in the plan?"
"Why is moveDown x1 y1 not used in the plan?","Why is action A not used in the plan?"
"Why is pushLeft x1 y1 z1 crate1 not used in the plan?","Why is action A not used in the plan?"
"Why is pushRight x1 y1 z1 crate1 not used in the plan?","Why is action A not used in the plan?"
"Why is pushUp x1 y1 z1 crate1 not used in the plan?","Why is action A not used in the plan?"
"Why is pushDown x1 y1 z1 crate1 not used in the plan?","Why is action A not used in the plan?"
"Why is moveLeft x2 y2 not used in the plan?","Why is action A not used in the plan?"
"Why is moveRight x2 y2 not used in the plan?","Why is action A not used in the plan?"
"Why is moveUp x2 y2 not used in the plan?","Why is action A not used in the plan?"
"Why is moveDown x2 y2 not used in the plan?","Why is action A not used in the plan?"
"Why is pushLeft x2 y2 z2 crate2 not used in the plan?","Why is action A not used in the plan?"
"Why is pushRight x2 y2 z2 crate2 not used in the plan?","Why is action A not used in the plan?"
"Why is pushUp x2 y2 z2 crate2 not used in the plan?","Why is action A not used in the plan?"
"Why is pushDown x2 y2 z2 crate2 not used in the plan?","Why is action A not used in the plan?"
"Why is moveLeft x3 y3 not used in the plan?","Why is action A not used in the plan?"
"Why is moveRight x3 y3 not used in the plan?","Why is action A not used in the plan?"
"Why is moveUp x3 y3 not used in the plan?","Why is action A not used in the plan?"
"Why is moveDown x3 y3 not used in the plan?","Why is action A not used in the plan?"
"Why is pushLeft x3 y3 z3 crate3 not used in the plan?","Why is action A not used in the plan?"
"Why is pushRight x3 y3 z3 crate3 not used in the plan?","Why is action A not used in the plan?"
"Why is pushUp x3 y3 z3 crate3 not used in the plan?","Why is action A not used in the plan?"
"Why is pushDown x3 y3 z3 crate3 not used in the plan?","Why is action A not used in the plan?"
"Why is moveLeft x4 y4 not used in the plan?","Why is action A not used in the plan?"
"Why is moveRight x4 y4 not used in the plan?","Why is action A not used in the plan?"
"Why is moveUp x4 y4 not used in the plan?","Why is action A not used in the plan?"
"Why is moveDown x4 y4 not used in the plan?","Why is action A not used in the plan?"
"Why is pushLeft x4 y4 z4 crate4 not used in the plan?","Why is action A not used in the plan?"
"Why is pushRight x4 y4 z4 crate4 not used in the plan?","Why is action A not used in the plan?"
"Why is pushUp x4 y4 z4 crate4 not used in the plan?","Why is action A not used in the plan?"
"Why is pushDown x4 y4 z4 crate4 not used in the plan?","Why is action A not used in the plan?"
"Why is moveLeft x5 y5 not used in the plan?","Why is action A not used in the plan?"
"Why is moveRight x5 y5 not used in the plan?","Why is action A not used in the plan?"
"Why is moveUp x5 y5 not used in the plan?","Why is action A not used in the plan?"
"Why is moveDown x5 y5 not used in the plan?","Why is action A not used in the plan?"
"Why is pushLeft x5 y5 z5 crate5 not used in the plan?","Why is action A not used in the plan?"
"Why is pushRight x5 y5 z5 crate5 not used in the plan?","Why is action A not used in the plan?"
"Why is pushUp x5 y5 z5 crate5 not used in the plan?","Why is action A not used in the plan?"
"Why is pushDown x5 y5 z5 crate5 not used in the plan?","Why is action A not used in the plan?"
"Why is moveLeft x6 y6 not used in the plan?","Why is action A not used in the plan?"
"Why is moveRight x6 y6 not used in the plan?","Why is action A not used in the plan?"
"Why is moveUp x6 y6 not used in the plan?","Why is action A not used in the plan?"
"Why is moveDown x6 y6 not used in the plan?","Why is action A not used in the plan?"
"Why is pushLeft x6 y6 z6 crate6 not used in the plan?","Why is action A not used in the plan?"
"Why is pushRight x6 y6 z6 crate6 not used in the plan?","Why is action A not used in the plan?"
"Why is pushUp x6 y6 z6 crate6 not used in the plan?","Why is action A not used in the plan?"
"Why is pushDown x6 y6 z6 crate6 not used in the plan?","Why is action A not used in the plan?"
"Why is moveLeft x7 y7 not used in the plan?","Why is action A not used in the plan?"
"Why is moveRight x7 y7 not used in the plan?","Why is action A not used in the plan?"
"Why is moveUp x7 y7 not used in the plan?","Why is action A not used in the plan?"
"Why is moveDown x7 y7 not used in the plan?","Why is action A not used in the plan?"
"Why is pushLeft x7 y7 z7 crate7 not used in the plan?","Why is action A not used in the plan?"
"Why is pushRight x7 y7 z7 crate7 not used in the plan?","Why is action A not used in the plan?"
"Why is pushUp x7 y7 z7 crate7 not used in the plan?","Why is action A not used in the plan?"
"Why is pushDown x7 y7 z7 crate7 not used in the plan?","Why is action A not used in the plan?"
"Why is moveLeft x8 y8 not used in the plan?","Why is action A not used in the plan?"
"Why is moveRight x8 y8 not used in the plan?","Why is action A not used in the plan?"
"Why is moveUp x8 y8 not used in the plan?","Why is action A not used in the plan?"
"Why is moveDown x8 y8 not used in the plan?","Why is action A not used in the plan?"
"Why is pushLeft x8 y8 z8 crate8 not used in the plan?","Why is action A not used in the plan?"
"Why is pushRight x8 y8 z8 crate8 not used in the plan?","Why is action A not used in the plan?"
"Why is pushUp x8 y8 z8 crate8 not used in the plan?","Why is action A not used in the plan?"
"Why is pushDown x8 y8 z8 crate8 not used in the plan?","Why is action A not used in the plan?"
"Why is moveLeft x9 y9 not used in the plan?","Why is action A not used in the plan?"
"Why is moveRight x9 y9 not used in the plan?","Why is action A not used in the plan?"
"Why is moveUp x9 y9 not used in the plan?","Why is action A not used in the plan?"
"Why is moveDown x9 y9 not used in the plan?","Why is action A not used in the plan?"
"Why is pushLeft x9 y9 z9 crate9 not used in the plan?","Why is action A not used in the plan?"
"Why is pushRight x9 y9 z9 crate9 not used in the plan?","Why is action A not used in the plan?"
"Why is pushUp x9 y9 z9 crate9 not used in the plan?","Why is action A not used in the plan?"
"Why is pushDown x9 y9 z9 crate9 not used in the plan?","Why is action A not used in the plan?"
"Why is moveLeft x1 y1 used in the plan?","Why is action A used in the plan?"
"Why is moveRight x1 y1 used in the plan?","Why is action A used in the plan?"
"Why is moveUp x1 y1 used in the plan?","Why is action A used in the plan?"
"Why is moveDown x1 y1 used in the plan?","Why is action A used in the plan?"
"Why is pushLeft x1 y1 z1 crate1 used in the plan?","Why is action A used in the plan?"
"Why is pushRight x1 y1 z1 crate1 used in the plan?","Why is action A used in the plan?"
"Why is pushUp x1 y1 z1 crate1 used in the plan?","Why is action A used in the plan?"
"Why is pushDown x1 y1 z1 crate1 used in the plan?","Why is action A used in the plan?"
"Why is moveLeft x2 y2 used in the plan?","Why is action A used in the plan?"
"Why is moveRight x2 y2 used in the plan?","Why is action A used in the plan?"
"Why is moveUp x2 y2 used in the plan?","Why is action A used in the plan?"
"Why is moveDown x2 y2 used in the plan?","Why is action A used in the plan?"
"Why is pushLeft x2 y2 z2 crate2 used in the plan?","Why is action A used in the plan?"
"Why is pushRight x2 y2 z2 crate2 used in the plan?","Why is action A used in the plan?"
"Why is pushUp x2 y2 z2 crate2 used in the plan?","Why is action A used in the plan?"
"Why is pushDown x2 y2 z2 crate2 used in the plan?","Why is action A used in the plan?"
"Why is moveLeft x3 y3 used in the plan?","Why is action A used in the plan?"
"Why is moveRight x3 y3 used in the plan?","Why is action A used in the plan?"
"Why is moveUp x3 y3 used in the plan?","Why is action A used in the plan?"
"Why is moveDown x3 y3 used in the plan?","Why is action A used in the plan?"
"Why is pushLeft x3 y3 z3 crate3 used in the plan?","Why is action A used in the plan?"
"Why is pushRight x3 y3 z3 crate3 used in the plan?","Why is action A used in the plan?"
"Why is pushUp x3 y3 z3 crate3 used in the plan?","Why is action A used in the plan?"
"Why is pushDown x3 y3 z3 crate3 used in the plan?","Why is action A used in the plan?"
"Why is moveLeft x4 y4 used in the plan?","Why is action A used in the plan?"
"Why is moveRight x4 y4 used in the plan?","Why is action A used in the plan?"
"Why is moveUp x4 y4 used in the plan?","Why is action A used in the plan?"
"Why is moveDown x4 y4 used in the plan?","Why is action A used in the plan?"
"Why is pushLeft x4 y4 z4 crate4 used in the plan?","Why is action A used in the plan?"
"Why is pushRight x4 y4 z4 crate4 used in the plan?","Why is action A used in the plan?"
"Why is pushUp x4 y4 z4 crate4 used in the plan?","Why is action A used in the plan?"
"Why is pushDown x4 y4 z4 crate4 used in the plan?","Why is action A used in the plan?"
"Why is moveLeft x5 y5 used in the plan?","Why is action A used in the plan?"
"Why is moveRight x5 y5 used in the plan?","Why is action A used in the plan?"
"Why is moveUp x5 y5 used in the plan?","Why is action A used in the plan?"
"Why is moveDown x5 y5 used in the plan?","Why is action A used in the plan?"
"Why is pushLeft x5 y5 z5 crate5 used in the plan?","Why is action A used in the plan?"
"Why is pushRight x5 y5 z5 crate5 used in the plan?","Why is action A used in the plan?"
"Why is pushUp x5 y5 z5 crate5 used in the plan?","Why is action A used in the plan?"
"Why is pushDown x5 y5 z5 crate5 used in the plan?","Why is action A used in the plan?"
"Why is moveLeft x6 y6 used in the plan?","Why is action A used in the plan?"
"Why is moveRight x6 y6 used in the plan?","Why is action A used in the plan?"
"Why is moveUp x6 y6 used in the plan?","Why is action A used in the plan?"
"Why is moveDown x6 y6 used in the plan?","Why is action A used in the plan?"
"Why is pushLeft x6 y6 z6 crate6 used in the plan?","Why is action A used in the plan?"
"Why is pushRight x6 y6 z6 crate6 used in the plan?","Why is action A used in the plan?"
"Why is pushUp x6 y6 z6 crate6 used in the plan?","Why is action A used in the plan?"
"Why is pushDown x6 y6 z6 crate6 used in the plan?","Why is action A used in the plan?"
"Why is moveLeft x7 y7 used in the plan?","Why is action A used in the plan?"
"Why is moveRight x7 y7 used in the plan?","Why is action A used in the plan?"
"Why is moveUp x7 y7 used in the plan?","Why is action A used in the plan?"
"Why is moveDown x7 y7 used in the plan?","Why is action A used in the plan?"
"Why is pushLeft x7 y7 z7 crate7 used in the plan?","Why is action A used in the plan?"
"Why is pushRight x7 y7 z7 crate7 used in the plan?","Why is action A used in the plan?"
"Why is pushUp x7 y7 z7 crate7 used in the plan?","Why is action A used in the plan?"
"Why is pushDown x7 y7 z7 crate7 used in the plan?","Why is action A used in the plan?"
"Why is moveLeft x8 y8 used in the plan?","Why is action A used in the plan?"
"Why is moveRight x8 y8 used in the plan?","Why is action A used in the plan?"
"Why is moveUp x8 y8 used in the plan?","Why is action A used in the plan?"
"Why is moveDown x8 y8 used in the plan?","Why is action A used in the plan?"
"Why is pushLeft x8 y8 z8 crate8 used in the plan?","Why is action A used in the plan?"
"Why is pushRight x8 y8 z8 crate8 used in the plan?","Why is action A used in the plan?"
"Why is pushUp x8 y8 z8 crate8 used in the plan?","Why is action A used in the plan?"
"Why is pushDown x8 y8 z8 crate8 used in the plan?","Why is action A used in the plan?"
"Why is moveLeft x9 y9 used in the plan?","Why is action A used in the plan?"
"Why is moveRight x9 y9 used in the plan?","Why is action A used in the plan?"
"Why is moveUp x9 y9 used in the plan?","Why is action A used in the plan?"
"Why is moveDown x9 y9 used in the plan?","Why is action A used in the plan?"
"Why is pushLeft x9 y9 z9 crate9 used in the plan?","Why is action A used in the plan?"
"Why is pushRight x9 y9 z9 crate9 used in the plan?","Why is action A used in the plan?"
"Why is pushUp x9 y9 z9 crate9 used in the plan?","Why is action A used in the plan?"
"Why is pushDown x9 y9 z9 crate9 used in the plan?","Why is action A used in the plan?"
"Why is moveLeft x1 y1 used rather than moveRight x1 y1?","Why is action A used in state S, rather than action B?"
"Why is moveLeft x1 y1 used rather than moveUp x1 y1?","Why is action A used in state S, rather than action B?"
"Why is moveLeft x1 y1 used rather than pushUp x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is moveLeft x1 y1 used rather than pushDown x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is moveRight x1 y1 used rather than moveLeft x1 y1?","Why is action A used in state S, rather than action B?"
"Why is moveRight x1 y1 used rather than moveUp x1 y1?","Why is action A used in state S, rather than action B?"
"Why is moveRight x1 y1 used rather than pushRight x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is moveRight x1 y1 used rather than pushUp x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is moveRight x1 y1 used rather than pushDown x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is moveUp x1 y1 used rather than moveLeft x1 y1?","Why is action A used in state S, rather than action B?"
"Why is moveUp x1 y1 used rather than moveRight x1 y1?","Why is action A used in state S, rather than action B?"
"Why is moveUp x1 y1 used rather than moveDown x1 y1?","Why is action A used in state S, rather than action B?"
"Why is moveUp x1 y1 used rather than pushUp x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is moveUp x1 y1 used rather than pushDown x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is moveDown x1 y1 used rather than moveUp x1 y1?","Why is action A used in state S, rather than action B?"
"Why is moveDown x1 y1 used rather than pushLeft x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is moveDown x1 y1 used rather than pushRight x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is moveDown x1 y1 used rather than pushUp x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is moveDown x1 y1 used rather than pushDown x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is pushLeft x1 y1 z1 crate1 used rather than moveLeft x1 y1?","Why is action A used in state S, rather than action B?"
"Why is pushLeft x1 y1 z1 crate1 used rather than moveDown x1 y1?","Why is action A used in state S, rather than action B?"
"Why is pushLeft x1 y1 z1 crate1 used rather than pushRight x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is pushLeft x1 y1 z1 crate1 used rather than pushUp x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is pushLeft x1 y1 z1 crate1 used rather than pushDown x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is pushRight x1 y1 z1 crate1 used rather than moveUp x1 y1?","Why is action A used in state S, rather than action B?"
"Why is pushRight x1 y1 z1 crate1 used rather than moveDown x1 y1?","Why is action A used in state S, rather than action B?"
"Why is pushRight x1 y1 z1 crate1 used rather than pushLeft x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is pushRight x1 y1 z1 crate1 used rather than pushUp x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is pushRight x1 y1 z1 crate1 used rather than pushDown x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is pushUp x1 y1 z1 crate1 used rather than moveLeft x1 y1?","Why is action A used in state S, rather than action B?"
"Why is pushUp x1 y1 z1 crate1 used rather than moveRight x1 y1?","Why is action A used in state S, rather than action B?"
"Why is pushUp x1 y1 z1 crate1 used rather than moveUp x1 y1?","Why is action A used in state S, rather than action B?"
"Why is pushUp x1 y1 z1 crate1 used rather than moveDown x1 y1?","Why is action A used in state S, rather than action B?"
"Why is pushUp x1 y1 z1 crate1 used rather than pushLeft x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is pushUp x1 y1 z1 crate1 used rather than pushRight x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is pushDown x1 y1 z1 crate1 used rather than moveUp x1 y1?","Why is action A used in state S, rather than action B?"
"Why is pushDown x1 y1 z1 crate1 used rather than moveDown x1 y1?","Why is action A used in state S, rather than action B?"
"Why is pushDown x1 y1 z1 crate1 used rather than pushLeft x1 y1 z1 crate1?","Why is action A used in state S, rather than action B?"
"Why is moveLeft x2 y2 used rather than moveRight x2 y2?","Why is action A used in state S, rather than action B?"
"Why is moveLeft x2 y2 used rather than moveUp x2 y2?","Why is action A used in state S, rather than action B?"
"Why is moveLeft x2 y2 used rather than moveDown x2 y2?","Why is action A used in state S, rather than action B?"
"Why is moveLeft x2 y2 used rather than pushRight x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is moveRight x2 y2 used rather than moveLeft x2 y2?","Why is action A used in state S, rather than action B?"
"Why is moveRight x2 y2 used rather than moveUp x2 y2?","Why is action A used in state S, rather than action B?"
"Why is moveRight x2 y2 used rather than pushLeft x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is moveRight x2 y2 used rather than pushRight x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is moveRight x2 y2 used rather than pushDown x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is moveUp x2 y2 used rather than moveRight x2 y2?","Why is action A used in state S, rather than action B?"
"Why is moveUp x2 y2 used rather than pushLeft x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is moveUp x2 y2 used rather than pushRight x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is moveUp x2 y2 used rather than pushUp x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is moveDown x2 y2 used rather than moveLeft x2 y2?","Why is action A used in state S, rather than action B?"
"Why is moveDown x2 y2 used rather than moveRight x2 y2?","Why is action A used in state S, rather than action B?"
"Why is moveDown x2 y2 used rather than pushLeft x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is moveDown x2 y2 used rather than pushUp x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is pushLeft x2 y2 z2 crate2 used rather than moveRight x2 y2?","Why is action A used in state S, rather than action B?"
"Why is pushLeft x2 y2 z2 crate2 used rather than moveDown x2 y2?","Why is action A used in state S, rather than action B?"
"Why is pushLeft x2 y2 z2 crate2 used rather than pushRight x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is pushLeft x2 y2 z2 crate2 used rather than pushUp x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is pushLeft x2 y2 z2 crate2 used rather than pushDown x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is pushRight x2 y2 z2 crate2 used rather than moveRight x2 y2?","Why is action A used in state S, rather than action B?"
"Why is pushRight x2 y2 z2 crate2 used rather than moveDown x2 y2?","Why is action A used in state S, rather than action B?"
"Why is pushRight x2 y2 z2 crate2 used rather than pushLeft x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is pushRight x2 y2 z2 crate2 used rather than pushDown x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is pushUp x2 y2 z2 crate2 used rather than moveRight x2 y2?","Why is action A used in state S, rather than action B?"
"Why is pushUp x2 y2 z2 crate2 used rather than moveDown x2 y2?","Why is action A used in state S, rather than action B?"
"Why is pushUp x2 y2 z2 crate2 used rather than pushRight x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is pushUp x2 y2 z2 crate2 used rather than pushDown x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
"Why is pushDown x2 y2 z2 crate2 used rather than moveRight x2 y2?","Why is action A used in state S, rather than action B?"
"Why is pushDown x2 y2 z2 crate2 used rather than moveUp x2 y2?","Why is action A used in state S, rather than action B?"
"Why is pushDown x2 y2 z2 crate2 used rather than moveDown x2 y2?","Why is action A used in state S, rather than action B?"
"Why is pushDown x2 y2 z2 crate2 used rather than pushRight x2 y2 z2 crate2?","Why is action A used in state S, rather than action B?"
